name,iata_code
BÄlÈi International Airport,BZY
RAF Brize Norton,BZZ
Cabinda Airport,CAB
Cascavel Airport,CAC
Columbia Metropolitan Airport,CAE
Cagliari Elmas Airport,CAG
CÃ  Mau Airport,CAH
Cairo International Airport,CAI
Canaima Airport,CAJ
Akron Canton Regional Airport,CAK
Campbeltown Airport,CAL
Guangzhou Baiyun International Airport,CAN
Cap Haitien International Airport,CAP
Juan H White Airport,CAQ
Caribou Municipal Airport,CAR
Cascais Airport,CAT
Bartolomeu Lisandro Airport,CAW
Carlisle Airport,CAX
Cayenne-Rochambeau Airport,CAY
Cobar Airport,CAZ
Jorge Wilsterman International Airport,CBB
Car Nicobar Air Force Station,CBD
Cambridge Airport,CBG
BÃ©char Boudghene Ben Ali Lotfi Airport,CBH
Cabo Rojo Airport,CBJ
"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",CBL
Columbus Air Force Base,CBM
Awang Airport,CBO
Margaret Ekpo International Airport,CBQ
Canberra International Airport,CBR
Catumbela Airport,CBT
Coban Airport,CBV
Jardines Del Rey Airport,CCC
Capital International Airport,CCE
Carcassonne Airport,CCF
Chile Chico Airport,CCH
Calicut International Airport,CCJ
Cocos (Keeling) Islands Airport,CCK
Chinchilla Airport,CCL
DiomÃ­cio Freitas Airport,CCM
Carriel Sur Airport,CCP
SimÃ³n BolÃ­var International Airport,CCS
Netaji Subhash Chandra Bose International Airport,CCU
Northeast Iowa Regional Airport,CCY
Chub Cay Airport,CCZ
Cold Bay Airport,CDB
Cedar City Regional Airport,CDC
Chengde Puning Airport,CDE
Charles de Gaulle International Airport,CDG
ConceiÃ§Ã£o do Araguaia Airport,CDJ
Kadapa Airport,CDP
Chadron Municipal Airport,CDR
Childress Municipal Airport,CDS
CastellÃ³n-Costa Azahar Airport,CDT
Camden Airport,CDU
Merle K (Mudhole) Smith Airport,CDV
Mactan Cebu International Airport,CEB
Jack Mc Namara Field Airport,CEC
Ceduna Airport,CED
Cherepovets Airport,CEE
Westover ARB/Metropolitan Airport,CEF
Hawarden Airport,CEG
Chiang Rai International Airport,CEI
Chelyabinsk Balandino Airport,CEK
Ciudad ObregÃ³n International Airport,CEN
Cannes-Mandelieu Airport,CEQ
Cherbourg-Maupertus Airport,CER
Cholet Le Pontreau Airport,CET
Bob Sikes Airport,CEW
Clermont-Ferrand Auvergne Airport,CFE
Jaime Gonzalez Airport,CFG
Ech Cheliff Airport,CFK
Donegal Airport,CFN
Caen-Carpiquet Airport,CFR
Coffs Harbour Airport,CFS
Ioannis Kapodistrias International Airport,CFU
